	data_collection_round	Marital status - Head of Household	single_headed_household	Number household member boy under5 years old	Number household member _girl_under5 years old	Number household member boy_5_17 years old	household_girl_5_17	number adult household members years old	Total household number	diarrhea_under_5	house_type	Households use bottled water as drinking water source	Household treating water	Improvedsanitationfacility	Mentionedafterdefecating	Mentionedbeforeeating	Mentionedbeforeeatingafterdefecating	Mentionedbeforefeedingchild	handwashingfull	Household praticing open defecation	Frequency respondant report handwhashing a day	Improved water source
1873	Baseline	Married	No	0	0	1	1	3	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1874	Baseline	Married	No	1	0	1	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1875	Baseline	Married	No	1	0	0	0	2	3	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1876	Baseline	Married	No	2	1	0	2	2	7	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1877	Baseline	Married	No	0	0	1	1	6	8	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1878	Baseline	Married	No	0	0	0	2	5	7	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	5 - 6 times	Improved water source
1879	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water without Soap	No open defecation	0 - 2 times	Improved water source
1880	Baseline	Married	No	0	0	2	0	2	4	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1881	Baseline	Married	No	0	0	1	0	3	4	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1882	Baseline	Married	No	0	0	0	1	3	4	No	Timber frame	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1883	Baseline	Married	No	0	0	1	1	3	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1884	Baseline	Widowed	Yes	0	0	2	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1885	Baseline	Married	No	0	1	1	0	2	4	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1886	Baseline	Married	No	0	1	3	1	2	7	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1887	Baseline	Married	No	0	0	2	2	4	8	No	Concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1888	Baseline	Married	No	0	0	2	1	2	5	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1889	Baseline	Married	No	0	0	0	1	2	3	No	Timber frame	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1890	Baseline	Married	No	2	0	2	0	3	7	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	No Handwashing facility	No open defecation	7 times and more	Improved water source
1891	Baseline	Married	No	0	0	1	1	2	4	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Unimproved water source
1892	Baseline	Married	No	1	0	0	1	2	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1893	Baseline	Married	No	0	0	2	0	3	5	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
1894	Baseline	Married	No	0	0	1	0	2	3	No	Hut	Other source	No	Improved toilet facility	Yes	No	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
1895	Baseline	Widowed	Yes	0	0	1	0	2	3	No	Hut	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1896	Baseline	Married	No	0	1	0	0	3	4	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1897	Baseline	Married	No	0	0	0	2	1	3	No	Hut	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Improved water source
1898	Baseline	Married	No	1	0	0	0	2	3	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1899	Baseline	Married	No	0	0	3	0	3	6	No	Timber frame	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
1900	Baseline	Married	No	1	0	1	2	3	7	No	Hut	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1901	Baseline	Married	No	0	0	0	0	2	2	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Unimproved water source
1902	Baseline	Married	No	0	0	0	2	4	6	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1903	Baseline	Married	No	0	0	1	0	5	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1904	Baseline	Married	No	0	0	2	2	3	7	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1905	Baseline	Married	No	0	0	1	1	2	4	No	Hut	Other source	Yes	Unimproved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Unimproved water source
1906	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1907	Baseline	Married	No	0	0	1	1	2	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1908	Baseline	Married	No	0	0	1	0	4	5	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
1909	Baseline	Married	No	1	0	1	0	2	4	No	Hut	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	Open defecation	5 - 6 times	Improved water source
1910	Baseline	Married	No	0	0	1	0	2	3	No	Hut	Other source	Yes	Unimproved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1911	Baseline	Married	No	0	0	1	1	2	4	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Unimproved water source
1912	Baseline	Married	No	0	1	0	0	5	6	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1913	Baseline	Married	No	0	0	1	1	2	4	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1914	Baseline	Married	No	0	0	2	1	1	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1915	Baseline	Married	No	0	0	1	0	4	5	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1916	Baseline	Married	No	0	0	2	1	3	6	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1917	Baseline	Married	No	2	0	2	1	4	9	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1918	Baseline	Married	No	0	0	2	0	2	4	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1919	Baseline	Married	No	1	1	0	0	2	4	No	Hut	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1920	Baseline	Married	No	0	0	0	0	5	5	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1921	Baseline	Married	No	0	0	0	0	4	4	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	0 - 2 times	Improved water source
1922	Baseline	Married	No	1	0	1	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1923	Baseline	Married	No	0	0	1	0	3	4	No	Concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1924	Baseline	Married	No	1	0	1	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	No open defecation	7 times and more	Improved water source
1925	Baseline	Married	No	1	0	0	1	2	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1926	Baseline	Married	No	0	0	0	0	4	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Unimproved water source
1927	Baseline	Married	No	1	0	0	4	5	10	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1928	Baseline	Married	No	1	0	1	2	3	7	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1929	Baseline	Married	No	0	0	0	2	2	4	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1930	Baseline	Married	No	1	0	1	0	7	9	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1931	Baseline	Married	No	1	0	0	1	5	7	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1932	Baseline	Married	No	0	0	3	2	5	10	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1933	Baseline	Married	No	1	1	1	4	3	10	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1934	Baseline	Married	No	0	0	0	0	1	1	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1935	Baseline	Married	No	0	1	0	1	4	6	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	Open defecation	5 - 6 times	Improved water source
1936	Baseline	Married	No	1	0	1	1	2	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1937	Baseline	Married	No	0	0	1	1	3	5	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1938	Baseline	Married	No	1	1	0	0	2	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1939	Baseline	Married	No	0	1	0	1	2	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1940	Baseline	Married	No	0	0	0	0	2	2	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	3 - 4 times	Unimproved water source
1941	Baseline	Married	No	0	0	0	1	2	3	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1942	Baseline	Married	No	0	0	2	0	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1943	Baseline	Married	No	0	0	1	2	2	5	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1944	Baseline	Married	No	1	1	2	1	4	9	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1945	Baseline	Married	No	1	0	1	1	3	6	Yes	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1946	Baseline	Married	No	0	1	1	0	2	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	0 - 2 times	Improved water source
1947	Baseline	Married	No	1	0	1	0	5	7	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1948	Baseline	Married	No	0	0	1	0	1	2	No	Hut	Other source	Yes	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
1949	Baseline	Married	No	1	0	0	1	3	5	Yes	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1950	Baseline	Married	No	0	0	0	0	2	2	No	Timber and concrete	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	Open defecation	5 - 6 times	Improved water source
1951	Baseline	Married	No	1	1	1	0	2	5	No	Hut	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1952	Baseline	Married	No	1	0	1	0	2	4	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1953	Baseline	Married	No	0	0	1	0	6	7	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1954	Baseline	Married	No	0	0	0	2	4	6	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1955	Baseline	Married	No	0	0	0	1	4	5	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1956	Baseline	Married	No	0	1	0	0	3	4	Yes	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1957	Baseline	Married	No	0	0	0	1	2	3	No	Hut	Other source	No	Unimproved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1958	Baseline	Married	No	0	0	1	1	4	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1959	Baseline	Widowed	Yes	0	0	0	0	2	2	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1960	Baseline	Married	No	0	0	1	0	3	4	No	Timber and concrete	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1961	Baseline	Married	No	0	0	0	0	3	3	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	5 - 6 times	Improved water source
1962	Baseline	Married	No	0	0	0	1	4	5	No	Timber frame	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1963	Baseline	Married	No	1	1	3	0	3	8	Yes	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1964	Baseline	Married	No	1	1	0	2	2	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1965	Baseline	Married	No	1	0	2	0	2	5	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1966	Baseline	Married	No	0	0	0	0	1	1	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1967	Baseline	Married	No	1	1	1	0	4	7	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1968	Baseline	Married	No	0	0	0	0	2	2	No	Makeshift shelter	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	7 times and more	Unimproved water source
1969	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1970	Baseline	Married	No	0	0	2	0	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Unimproved water source
1971	Baseline	Married	No	0	0	1	0	3	4	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
1972	Baseline	Divorced	Yes	1	0	2	0	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
1973	Baseline	Married	No	1	1	2	0	2	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1974	Baseline	Married	No	1	0	1	0	2	4	Yes	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1975	Baseline	Married	No	1	1	1	0	2	5	Yes	Timber frame	Other source	Yes	Unimproved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1976	Baseline	Married	No	0	2	0	0	2	4	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1977	Baseline	Married	No	1	0	2	2	2	7	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1978	Baseline	Married	No	0	0	0	1	2	3	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1979	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1980	Baseline	Widowed	Yes	0	0	1	2	3	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1981	Baseline	Married	No	2	1	4	1	2	10	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1982	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1983	Baseline	Married	No	0	0	2	1	3	6	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1984	Baseline	Married	No	0	0	2	1	3	6	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1985	Baseline	Married	No	0	0	0	0	2	2	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1986	Baseline	Single	Yes	1	0	1	1	3	6	No	Hut	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	0 - 2 times	Improved water source
1987	Baseline	Married	No	0	0	0	1	2	3	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1988	Baseline	Widowed	Yes	1	0	0	2	2	5	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1989	Baseline	Single	Yes	0	1	0	1	2	4	No	Timber and concrete	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1990	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1991	Baseline	Married	No	2	0	1	0	2	5	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1992	Baseline	Married	No	0	0	2	3	2	7	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1993	Baseline	Married	No	1	0	2	0	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	No	No	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1994	Baseline	Married	No	1	1	0	1	2	5	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1995	Baseline	Married	No	0	1	2	0	2	5	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1996	Baseline	Married	No	0	0	0	0	4	4	No	Hut	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1997	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1998	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1999	Baseline	Married	No	0	0	1	2	4	7	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
2000	Baseline	Married	No	1	0	2	3	3	9	Yes	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	Open defecation	3 - 4 times	Improved water source
2001	Baseline	Married	No	0	0	0	1	2	3	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
2002	Baseline	Married	No	0	0	1	2	2	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
2003	Baseline	Married	No	0	0	1	0	2	3	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
2004	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Improved water source
2005	Baseline	Married	No	1	0	0	0	2	3	No	Hut	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
2006	Baseline	Married	No	0	1	0	2	2	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
2007	Baseline	Married	No	0	1	0	3	3	7	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
2008	Baseline	Married	No	2	0	0	0	2	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
2009	Baseline	Married	No	0	0	1	0	1	2	No	Concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
2010	Baseline	Married	No	0	0	1	0	1	2	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Unimproved water source
2011	Baseline	Married	No	2	1	0	0	2	5	Yes	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
2012	Baseline	Married	No	0	0	0	0	4	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
2013	Baseline	Married	No	1	0	0	1	4	6	No	Hut	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	0 - 2 times	Unimproved water source
2014	Baseline	Married	No	0	0	0	1	3	4	No	Makeshift shelter	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
2015	Baseline	Married	No	1	0	0	0	2	3	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
